category,s1,s2,label,node_id,neighbour
Growing Up & Facts of Life," A young ster prepares a birthday cake with the help of various animals , depicted in warm and humorous soft water color illustrations . App ropri ate for preschool story times .", It ' s My Birthday ,2,32949,"[7443, 9866, 12078, 12378, 13024, 13468, 13521, 14695, 15205, 15841, 16722, 18956, 19205, 20815, 21500, 22031, 22284, 23822, 23946, 25754, 27481, 27491, 27501, 27530, 27536, 28952, 29293, 32828, 33246, 33340, 34003, 39727, 40295, 40718, 47738, 48028, 48346, 52737, 54480, 55346, 56405, 57710, 58097, 58458, 60747, 62435, 65020, 68169, 68189, 69421, 69437, 74057, 75638]"
History," M ist i Ken ison is a web / graph ic designer and owner of MK Design . She ' s a mom passionate about promoting literacy in young children . Her creation , ' Che er Up , Ben Franklin ! ( Y oung Histor ians ), aims to serve as a helpful tool for parents ."," Che er Up , Ben Franklin ! ( Y oung Histor ians )",18,56448,"[1585, 9481, 10055, 11555, 12641, 13832, 18455, 20796, 20817, 23816, 23822, 23825, 23852, 39755, 43445, 43448, 45395, 45403, 49124, 49342, 49360, 49370, 49389, 49391, 49392, 49393, 49399, 49401, 49425, 49427, 49428, 49430, 49701, 50057, 52573, 52667, 55126, 55244, 55345, 56466, 56468, 56476, 56480, 56489, 56499, 56500, 56505, 56516, 56517, 56519, 56521, 56525, 56526, 56681, 56970, 57445, 57447, 58127, 58163, 58211, 58461, 62356, 62376, 62461, 62466, 62474, 65183, 66075, 68996, 71778, 75453]"
Religions," S ally Lloyd - J ones is a renowned author of children ' s inspirational books . She has a talent for conve ying biblical truths to young readers . Her works include three bestselling children ' s B ibles , such as the Gold Book Award - winning ' B aby ' s First Bible ' and the Moon be am Award Winner ' The Jesus Story book Bible '. Other popular picture books written by her are ' Hand bag Friends ', ' Time to Say Good night ', and the critically acclaimed ' How to Be a Baby : By Me , the Big Sister '. A native of England , Sally currently resides in New York City .", S ally Lloyd - J ones : Ren owned Children ' s Book Author ,20,72103,"[2529, 8874, 9238, 9316, 9422, 9515, 57330]"
Growing Up & Facts of Life," M ij Kelly auth ored two additional Su zy Sue stories , accessible in North America through Bar ron ' s .", A Bed of Your Own ,2,34165,"[1359, 2801, 8261, 8270, 8526, 11926, 12903, 13754, 13874, 14557, 24779, 25746, 25962, 26987, 28390, 29280, 32828, 33756, 34190, 34236, 43424, 43897, 44038, 44526, 44552, 44620, 52545, 52650, 52674, 53988, 53991, 54225, 54258, 54260, 56023, 61410, 61645, 61647, 61648, 69461, 73839]"
"Activities, Crafts & Games"," El iz abeth Enc arn acion is an author and book editor who has written numerous children ' s books , including The Girls Guide to Camp fire Activities , Fab ulous Fun Fo am Book & Kit , a novel ization of Rud olph the Red - N osed Re inde er , the four - book Build ings at Work series , and four titles in the My Little Ch alk board series . She also co - auth ored The Jimmy Buff ett Concert Handbook for adults .", El iz abeth Enc arn acion ' s Children ' s Books and String Games ,6,66265,"[61105, 61106]"
Geography & Cultures,,,11,7320,"[2729, 2822, 5477, 5497, 5862, 7011, 9439, 12190, 12269, 12862, 13705, 15049, 15530, 15915, 16061, 17283, 17371, 18468, 18483, 18520, 19399, 19538, 20709, 21372, 21429, 22084, 22961, 24247, 24976, 25152, 25754, 26871, 27715, 28193, 33591, 34984, 35988, 36459, 37165, 37546, 39391, 39418, 39755, 40517, 43301, 43379, 46687, 48591, 49080, 52649, 52930, 53782, 54383, 55567, 57698, 57873, 62259, 62859, 63184, 65178, 68040, 70587, 72448, 73082, 74678, 74707]"
Literature & Fiction, A first - rate thriller . This satisfying novel will keep readers guessing until the end ., N ight mare Mountain ,0,5669,"[5323, 5645, 5749, 5870, 6123, 6149, 6180, 6330, 6347, 6355, 6501, 6539, 6825, 6888, 6899, 14474, 16991, 25921, 25922, 25945, 51436, 54826, 55332]"
Religions," Jul iet David is an experienced author who has written numerous children ' s stories and Bible activity books . Her creative interests also extend to painting , music , and travel , particularly to Israel and other Bible lands . She resides in London with her family .", L ift the Fl ap Nat ivity ,20,39964,[69437]
Geography & Cultures," C inc o de Mayo is a master ful blend of information and universal family moments , as praised by School Library Journal . It offers a reader - friendly introduction to the holiday , as noted by Book list . The art director behind the book is Diane H oy t - Gold smith , who lives in Or inda , California , with her husband , son , and daughter .", C inc o de Mayo : A Reader - Friend ly Introduction to the Holiday ,11,39371,[20607]
Education & Reference, H oughton M if fl in Sp elling : Hard cover Student Edition Level 5 1 9 9 8 , H oughton M if fl in Sp elling : Hard cover Student Edition Level 5 1 9 9 8 ,12,15623,"[15605, 25077, 25184, 25187]"
