category,text,label,node_id,neighbour
Literature & Fiction,Description: A third grade home school reading book. Stories are based upon Immigrants from Norway in 1820 America.; Title: Secrets in the Maple Tree,0,76634,[41924]
Education & Reference,"Description: Baby Professor showcases a collection of subjects that are educational for kids to help them learn how to do something themselves, exactly how something is done or how it came about. Children love to learn through attractive visuals and Baby Prof. is ideal to get your child the head start he or she needs for the future. Our Motto - ""Learning is Fun, so let's Make it Fun to Learn"".; Title: The Best Spanish Learning Games for Children | Children's Learn Spanish Books",12,58818,"[9850, 10587, 12820, 58871, 73447]"
Literature & Fiction,"Description: Being a princess is not all glittery parties and lavish holidays by the sea. Well, actually, it is, but it's not all fun. Young Princess Victoria is constantly surrounded by family and advisors, allowing her no privacy and very few opportunities to express herself until she purloins an old ledger book from one of Kensington Palace's stables. She promptly begins recording her secrets, daily trials, and naughty witticisms (her uncle, King George IV, has big, plump hands, ""the size of a plucked quail."") in this very incongruous journal. The biggest secret of all, however, is one that is kept from our heroine. It is not until well into her two-year-long diary that Victoria pieces together her family tree to discover that she is next in line to the throne. This intriguing installment of the Royal Diaries series will inspire many readers to delve deeper into Queen Victoria's life as the longest reigning queen of England. Author Anna Kirwan's fictionalized account is entertaining and enlightening, packed with facts about royal customs in the early 19th century. Historical notes, a family tree, and photos provide more factual information for the curious reader. (Ages 9 to 12) --Emilie CoulterGr 4-7-A charming portrayal of three years in the childhood of Queen Victoria. The nine-year-old begins by confessing that she stole a livestock ledger from the stable in order to have a journal in which to write her private thoughts. She fills the pages with details of life in Kensington Palace, from the menu at breakfast, her daily lessons and tutoring sessions to a ball given by her uncle the King, a vacation by the sea, and the negative influence of Captain Conroy, one of her mother's advisers. Throughout, the princess exhibits a shrewd awareness of palace life and a growing sense of the larger role she is being prepared for and must shortly assume. An epilogue reveals that Victoria became Queen just after her 18th birthday. While at first the young princess's voice appears a bit mature, as readers learn more about her demanding education and extraordinary upbringing, she becomes more plausible. A historical note, photographs, a family tree, and a glossary of characters round out the novel. Fans of the series will be delighted.Kristen Oravec, Cuyahoga County Public Library, Strongsville, OHCopyright 2002 Cahners Business Information, Inc.; Title: The Royal Diaries: Victoria, May Blossom of Britannia, England 1829",0,17160,"[16961, 16980, 16989, 17033, 17034, 17042, 17043, 17055, 17109, 17112, 17125, 17134, 17136, 17156, 17161, 17170, 17176, 17196, 17197, 17383, 17442, 17927, 22112, 22143, 22162, 22167, 22223, 24174, 24476, 24517, 48225]"
Animals,"Description: PreSchool-K&mdash;Cat the Cat visits her friends, asking them to make their sounds. The dog woofs, the chick peeps, the cow moos, but the bunny is silent. As Bunny the Bunny makes no response, the others look at him with sympathy and say in unison, ""sounds like&hellip;somebody needs a hug!"" On the one hand, the message seems to be that even if you are different, your friends still love you. On the other hand, an underlying message is that if you are different, your friends will feel sorry for you. Not quite the same as celebrating the differences. The illustrations are characteristically spare with flat, unshaded colors outlined in black. Repeated use of a pale green background on each spread ties the whole book together nicely. Using few words, Willems relies on facial expressions and body posturing to convey humor with minimal detail. Making the animal sounds concept more interesting is a secondary story line: the animals are all preparing for a tea party. Cat the Cat gaily carries a basket covered with a checked napkin as she visits each animal who in turn is preparing something to share at the party. Willems does almost everything right. Children will enjoy making animal sounds and will laugh at his silly humor. But the underlying message that differences may elicit pity is an unfortunate flaw that keeps this book from being a winner.&mdash;Mary Hazelton, Elementary Schools in Warren &amp; Waldoboro, ME (c) Copyright 2010. Library Journals LLC, a wholly owned subsidiary of Media Source, Inc. No redistribution permitted.Mo Willems knows a Good Idea when he sees one. A three-time Caldecott Honor winner (for Don&#39;t Let the Pigeon Drive the Bus!, Knuffle Bunny, and Knuffle Bunny Too), he also won two Geisel Medals and two Geisel Honors for his Elephant and Piggie books. His books are perennial New York Times bestsellers, including Knuffle Bunny Free, Hooray for Amanda &#38; Her Alligator!, and the Cat the Cat series. Before he turned to making picture books, Mo was a writer and animator on Sesame Street, where he won six Emmys. Mo lives with his family in Massachusetts.; Title: What's Your Sound, Hound the Hound? (Cat the Cat Series)",1,2680,"[2661, 2664, 2665, 2828, 2959, 3205, 3350, 3692, 3701, 3702, 3764, 15096, 19306, 21759, 25966, 26566, 34887, 34950, 34954, 34970, 34976, 45991, 46000, 48908, 48962, 48996, 48998, 49001, 49003, 49023, 49042, 49086, 49088, 49091, 49131, 49138, 49193, 49257, 49259, 49267, 49304, 51597, 54975, 55832, 55840, 55846, 55852, 55861, 55869, 55875, 55884, 55896, 55930, 68210]"
Literature & Fiction,"Description: History comes alive for eight-to-twelve year olds in this close-up, fun-to-read, multi-generational story of a fictional family spanning three centuries of actual historical events. God's hand is seen at work in people's lives and in the events that shaped our nation.; Title: Dream Seekers: Roger William's Stand for Freedom (The American Adventure Series #3)",0,61891,"[4437, 61874, 61875, 61876, 61877, 61878, 61879, 61880, 61882, 61883, 61885, 61886, 61887, 61888, 61894, 61895]"
Biographies,"Description: Clayton Geoffreys was born and raised in Norwalk, Connecticut. Growing up, Clayton could often be found spending afternoons reading in the local public library about management techniques and leadership styles, along with overall outlooks towards life. It was from spending those afternoons reading about how others have led productive lives that Clayton was inspired to write this book. Usually Clayton write works around sports to learn more about influential athletes in the hopes that from his writing, you the reader can walk away inspired to put in an equal if not greater amount of hard work and perseverance to pursue your goals. If you are a sports junkie like Clayton, you can read his sports-related works on Steve Nash, Stephen Curry, Vince Carter, Hakeem Olajuwon, John Wall, Russell Westbrook, Tim Duncan, Reggie Miller, Allen Iverson, and Karl Malone. Clayton also wrote 88 Productivity Hacks: Key Habits on How to Beat Stress, Achieve Goals, and Live a Fulfilling Life, which can also be found in the Kindle Store.; Title: Kevin Love: The Inspiring Story of One of Basketball's Dominant Power Forwards (Basketball Biography Books)",17,57168,[54032]
"Activities, Crafts & Games","Description: For more than 20 years I was a teacher in Thailand, my home country, and devoted myself to my students and other teachers, whom I trained. It was only when I had my own family that I began to think about the education of my own child. Our son was introduced to books from a very early age and he was also lucky to grow up in a household where reading was a favoured pastime and books were everywhere. In his early years we read to him daily from the array of picture and story books which we bought; and even now, he still loves reading. This experience inspired me to write and illustrate a bilingual (Thai and English) childrens book. My aim for JJ A Curious Boy is not just to provide something for children to read for pleasure, but also to provide a useful resource to preserve the Thai language while at the same time supporting the development of English language skills amongst Thai children.; Title: JJ &ndash; A Curious Boy (Thai Edition)",6,57087,"[32301, 36707, 51101, 56672, 73978]"
Growing Up & Facts of Life,"Description: PreS-K--This lovely and soothing book begins when the sun sets and the night emerges. Mom and son go for a walk and say hello to everything who passes the stroller on their way. They greet the night, the owl, the cricket, the stars, and many other things. Their walk ends when they arrive home and greet the bed and the boys duckie pajamas, as he gets ready for sleep. He happily welcomes the night and enjoys his slumber. In the vein of &#34;Goodnight Moon&#34;, this is a perfect bilingual book to rock a child to sleep. Its soft, dreamlike acrylic illustrations are inviting, and the brief rhyming sentences flow across the artwork. Even the most stubborn child is sure to welcome bedtime after listening to this story. Recommended for libraries and bookstores. -- Criticas; Title: Hello Night/Hola Noche Bilingual (Multilingual Edition)",2,41056,[21002]
Literature & Fiction,"Description: Enjoyable. -The Horn BookDavid A. Adler lives in Woodmere, New York. Barbara Johansen Newman lives in Needham, Massachusetts.; Title: Bones and the Dog Gone Mystery",0,6268,"[566, 673, 1393, 1728, 2372, 2426, 3443, 3446, 4722, 4733, 4739, 4747, 4756, 4793, 4807, 5294, 5313, 5570, 5614, 5647, 5672, 5728, 5865, 5902, 5947, 6007, 6016, 6049, 6059, 6140, 6242, 6258, 6293, 6349, 6410, 6458, 6471, 6566, 6583, 6722, 10583, 12641, 13759, 13890, 15198, 15203, 17980, 18017, 18022, 18072, 18082, 18164, 18198, 18203, 18218, 18706, 18891, 18993, 19175, 19210, 19345, 20300, 26383, 27364, 27372, 27593, 27780, 29006, 33088, 49977, 54672, 56791, 56823, 58990, 61712, 61739, 69512]"
"Science, Nature & How It Works","Description: You will get the chance to join your kids in reading and learning with our educational and informative books.; Title: The Moon, the Sun and the Constellations- Beginner's Astronomy Lessons for Kids - Children's Astronomy &amp; Space Books",15,70149,[69935]
