node_id,label
6,7
35,1
39,0
54,2
70,1
75,0
83,2
88,7
95,2
98,2
106,2
109,2
110,1
114,1
120,1
124,12
127,1
128,2
137,1
144,15
151,2
158,6
161,2
176,12
180,1
182,1
191,18
194,0
195,17
196,18
197,18
198,0
210,12
212,12
219,12
221,18
222,18
225,12
226,12
237,11
251,12
253,12
261,12
266,12
267,12
271,12
273,12
274,12
277,12
278,12
280,15
313,12
314,12
321,12
323,12
335,0
341,2
342,13
344,1
353,2
354,15
356,11
365,2
369,0
373,11
378,12
379,3
380,2
383,0
399,2
400,14
410,0
416,1
419,12
430,12
431,12
433,12
436,12
439,12
441,12
444,12
446,11
450,12
452,12
454,12
456,12
457,12
469,0
470,2
473,1
474,1
476,1
481,2
484,1
499,1
501,2
504,2
508,2
512,1
516,2
522,1
524,2
532,0
539,14
542,2
543,0
549,7
550,1
563,2
564,2
573,0
578,14
581,2
582,2
585,0
590,0
593,2
604,0
611,0
612,0
614,2
624,2
625,2
627,2
628,0
630,2
632,0
643,2
646,1
651,2
652,2
655,2
664,2
669,0
673,0
674,2
676,13
679,18
680,2
681,2
685,12
689,0
690,5
696,13
697,2
701,18
708,3
712,2
713,11
720,1
730,14
752,2
754,2
756,1
759,2
771,11
772,1
773,11
779,2
780,0
782,7
784,0
788,2
800,1
803,2
808,2
812,0
820,11
821,0
829,2
831,0
836,1
839,0
842,0
848,2
849,0
851,0
862,0
866,0
870,0
871,2
884,0
886,5
890,0
896,0
898,5
902,0
906,1
911,0
914,0
928,0
930,0
931,0
936,1
938,3
940,0
943,1
949,2
953,2
955,2
957,0
960,15
962,1
963,0
965,0
966,0
967,7
971,1
979,2
985,2
994,11
996,2
1000,0
1001,0
1003,5
1013,2
1018,0
1021,2
1030,2
1031,0
1032,2
1033,15
1034,2
1035,2
1038,2
1039,6
1040,2
1041,2
1043,2
1045,0
1048,12
1053,1
1072,0
1078,1
1081,2
1087,2
1090,2
1097,18
1118,5
1121,2
1123,1
1126,2
1139,2
1141,0
1154,2
1162,2
1164,0
1165,2
1166,11
1169,2
1171,2
1175,2
1180,0
1181,1
1182,13
1189,15
1190,5
1193,2
1197,15
1213,1
1219,0
1221,2
1227,2
1230,1
1246,0
1253,2
1256,2
1257,2
1260,2
1270,2
1272,2
1276,2
1278,2
1285,2
1290,2
1295,0
1298,0
1309,2
1317,0
1322,2
1323,0
1326,0
1330,1
1334,2
1348,2
1349,2
1362,12
1370,2
1372,1
1380,2
1385,12
1386,2
1389,2
1390,0
1400,2
1402,1
1413,1
1414,2
1418,1
1422,2
1424,2
1433,2
1438,0
1441,0
1443,2
1447,7
1449,0
1457,0
1463,2
1465,0
1477,2
1480,2
1485,0
1486,2
1491,7
1507,2
1512,2
1518,2
1519,2
1520,2
1534,2
1536,2
1550,0
1566,6
1570,18
1574,18
1576,18
1583,2
1588,0
1590,18
1592,0
1598,13
1599,0
1603,1
1608,0
1618,2
1623,11
1632,0
1633,1
1638,2
1641,18
1647,0
1655,1
1668,1
1670,0
1671,0
1675,1
1678,2
1681,0
1685,1
1689,2
1696,2
1710,0
1731,1
1734,2
1736,13
1741,18
1747,1
1748,2
1751,1
1761,0
1763,2
1764,7
1768,0
1784,2
1786,1
1791,2
1792,2
1795,2
1798,2
1801,0
1805,0
1811,0
1812,0
1815,2
1817,2
1818,2
1824,1
1829,0
1830,2
1836,15
1842,0
1846,2
1848,0
1856,2
1859,15
1864,2
1866,2
1870,2
1879,1
1880,2
1897,2
1900,2
1901,2
1916,0
1923,2
1928,0
1931,2
1934,2
1938,2
1941,2
1944,0
1945,2
1956,2
1960,7
1966,2
1967,2
1975,2
1985,0
1990,2
1997,15
2008,15
2009,11
2038,6
2054,2
2055,1
2059,1
2060,1
2061,1
2065,1
2072,1
2083,1
2086,0
2097,2
2102,1
2107,1
2113,1
2114,1
2125,1
2126,2
2132,1
2138,0
2141,1
2152,1
2165,2
2172,1
2180,2
2181,2
2182,1
2189,1
2195,2
2212,1
2220,2
2225,2
2229,15
2231,2
2235,2
2238,14
2240,2
2247,2
2255,2
2262,2
2265,1
2269,2
2273,2
2284,2
2286,2
2287,2
2290,2
2295,2
2296,2
2298,7
2299,2
2300,11
2305,2
2307,0
2309,2
2310,0
2313,11
2320,2
2328,2
2329,2
2330,1
2331,13
2337,2
2338,2
2349,2
2350,2
2351,0
2359,2
2361,0
2362,2
2373,1
2375,0
2376,0
2378,2
2383,2
2386,14
2388,2
2399,2
2403,2
2404,2
2409,2
2417,2
2432,2
2436,2
2437,2
2441,0
2442,2
2449,0
2474,1
2476,2
2490,0
2493,2
2494,2
2499,2
2508,2
2511,2
2513,0
2515,2
2518,2
2522,2
2527,0
2528,2
2530,0
2540,0
2541,2
2544,0
2546,2
2549,11
2556,2
2558,2
2574,20
2578,2
2579,1
2585,0
2586,0
2592,2
2605,0
2608,2
2615,2
2616,2
2617,1
2618,2
2623,2
2626,2
2630,2
2638,2
2644,11
2648,1
2652,0
2662,2
2679,13
2683,7
2685,2
2686,2
2688,7
2691,1
2707,2
2715,2
2718,1
2721,2
2722,2
2726,2
2727,1
2730,2
2731,2
2742,7
2743,7
2746,18
2750,2
2757,1
2762,0
2771,7
2776,7
2778,2
2780,0
2782,0
2793,2
2803,0
2807,2
2813,2
2815,2
2819,2
2826,0
2833,13
2851,0
2863,2
2867,2
2868,2
2873,2
2875,0
2880,7
2885,2
2888,2
2891,2
2893,2
2901,2
2903,2
2905,2
2909,2
2913,0
2915,2
2916,11
2927,2
2935,1
2941,2
2954,2
2968,2
2971,7
2975,2
2980,2
2990,2
2992,2
2996,2
2997,2
2999,2
3000,2
3001,0
3003,2
3008,1
3011,1
3026,2
3027,13
3028,2
3029,2
3031,0
3047,2
3050,0
3053,1
3056,13
3057,1
3064,13
3071,0
3075,2
3077,15
3080,0
3085,2
3108,0
3115,2
3117,2
3124,2
3129,1
3132,1
3136,13
3137,0
3142,0
3153,2
3169,2
3170,2
3171,2
3173,2
3175,0
3179,13
3181,2
3186,2
3189,2
3195,1
3200,7
3208,2
3211,2
3214,2
3218,2
3220,2
3222,2
3231,2
3235,2
3242,2
3259,7
3269,7
3270,0
3272,2
3278,2
3284,2
3288,0
3292,7
3300,0
3304,7
3306,2
3308,0
3309,0
3310,2
3313,15
3319,2
3335,2
3342,2
3348,2
3350,2
3354,2
3363,2
3367,2
3377,2
3382,0
3393,2
3394,2
3395,13
3401,0
3403,0
3414,2
3416,2
3425,2
3433,1
3437,2
3441,7
3451,2
3452,22
3482,1
3495,2
3502,2
3506,13
3507,2
3510,0
3511,2
3524,2
3536,2
3555,2
3559,2
3563,2
3564,1
3565,5
3568,2
3570,2
3575,0
3580,13
3585,2
3593,0
3594,2
3609,2
3615,2
3617,2
3619,7
3620,2
3624,0
3627,2
3629,2
3635,2
3636,2
3638,2
3645,2
3647,2
3648,2
